02E | 0040113F | 51                       | push ecx                                | esp: 19FF14-> 19FF10                              | 0019FF10: 0-> 19FF28              | ecx:&"444"
02F | 00401140 | 6A 00                    | push 0                                  | esp: 19FF10-> 19FF0C                              | 0019FF0C: 19FF28-> 0              |
030 | 00401142 | 8B55 08                  | mov edx,dword ptr ss:[ebp+8]            | edx: 31-> 402104                                  | 0019FF24: 402104-> 402104         | [ebp+08]:"%s"
031 | 00401145 | 52                       | push edx                                | esp: 19FF0C-> 19FF08                              | 0019FF08: 0-> 402104              | edx:"%s"
032 | 00401146 | 6A 01                    | push 1                                  | esp: 19FF08-> 19FF04                              | 0019FF04: 402104-> 1              |
033 | 00401148 | 50                       | push eax                                | esp: 19FF04-> 19FF00                              | 0019FF00: 1-> 19FF28              | eax:&"\n\n"
034 | 00401149 | E8 69D21400              | call sample.vmp.54E3B7                  | esp: 19FF00-> 19FEFC                              | 0019FEFC: 19FF28-> 40114E         |
035 | 0054E3B7 | 90                       | nop                                     |                                                   |                                   |
036 | 0054E3B8 | 0FBFC5                   | movsx eax,bp                            | eax: 19FF28-> FFFFFF1C                            |                                   |
037 | 0054E3BB | 58                       | pop eax                                 | eax: FFFFFF1C-> 40114E esp: 19FEFC-> 19FF00       | 0019FEFC: 40114E-> 40114E         | eax:&"\n\n"
038 | 0054E3BC | 870424                   | xchg dword ptr ss:[esp],eax             | eax: 40114E-> 19FF28                              | 0019FF00: 19FF28-> 40114E         | [esp]:&"\n\n"
039 | 0054E3BF | E9 3E690000              | jmp sample.vmp.554D02                   |                                                   |                                   |
03A | 00554D02 | 50                       | push eax                                | esp: 19FF00-> 19FEFC                              | 0019FEFC: 40114E-> 19FF28         | eax:&"\n\n"
03B | 00554D03 | 8BC6                     | mov eax,esi                             | eax: 19FF28-> C60760                              |                                   | eax:&"\n\n", esi:&"E:\\新建文件夹11\\unicorn\\Emu\\Release\\Sample.vmp.exe"
03C | 00554D05 | 0FB7C5                   | movzx eax,bp                            | eax: C60760-> FF1C                                |                                   |
03D | 00554D08 | B8 9E124000              | mov eax,<sample.vmp.&___scrt_current_na | eax: FF1C-> 40129E                                |                                   | eax:&"\n\n"
03E | 00554D0D | E9 2B3DF0FF              | jmp sample.vmp.458A3D                   |                                                   |                                   |
